 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Nov/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210990 Santa Inês";16;16;56576,79;48241,51;-;-;8335,28;-;-;3536,05;3536,05;252;15,8;3;18,75
"211000 Santa Luzia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
"211003 Santa Luzia do Paruá";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;152;15,2;1;10,00
"211060 São Bernardo";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;4;4,0;-;-
"211070 São Domingos do Maranhão";6;6;9232,00;7407,94;-;-;1824,06;-;-;1538,67;1538,67;31;5,2;-;-
"211085 São Francisco do Brejão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"211107 São João do Soter";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;9;9,0;-;-
"211130 São Luís";243;243;840467,59;701709,93;-;-;138757,66;-;-;3458,71;3458,71;3267;13,4;88;36,21
"211140 São Luís Gonzaga do Maranhão";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"211157 São Pedro dos Crentes";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;10;10,0;-;-
"211160 São Raimundo das Mangabeiras";18;18;27432,00;21959,82;-;-;5472,18;-;-;1524,00;1524,00;72;4,0;-;-
"211180 Sítio Novo";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;26;2,6;-;-
"211195 Sucupira do Riachão";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"211200 Tasso Fragoso";4;4;6096,00;4879,96;-;-;1216,04;-;-;1524,00;1524,00;25;6,3;-;-
"211210 Timbiras";10;10;16377,05;13336,95;-;-;3040,10;-;-;1637,70;1637,70;41;4,1;-;-
"211220 Timon";34;34;129631,81;108597,72;-;-;21034,09;-;-;3812,70;3812,70;317;9,3;4;11,76
"211260 Urbano Santos";4;4;6032,00;4815,96;-;-;1216,04;-;-;1508,00;1508,00;11;2,8;1;25,00
"211270 Vargem Grande";1;1;1532,00;1227,99;-;-;304,01;-;-;1532,00;1532,00;4;4,0;-;-
"211280 Viana";9;9;13740,00;11003,91;-;-;2736,09;-;-;1526,67;1526,67;42;4,7;-;-
"211300 Vitorino Freire";31;31;47316,00;37891,69;-;-;9424,31;-;-;1526,32;1526,32;141;4,5;-;-
"220020 Água Branca";7;7;10508,00;8379,93;-;-;2128,07;-;-;1501,14;1501,14;25;3,6;-;-
"220040 Altos";8;8;12112,00;9679,92;-;-;2432,08;-;-;1514,00;1514,00;38;4,8;-;-
"220050 Amarante";14;14;21028,00;16771,86;-;-;4256,14;-;-;1502,00;1502,00;42;3,0;-;-
"220120 Barras";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;98;7,0;-;-
"220150 Batalha";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;13;4,3;-;-
"220190 Bom Jesus";58;58;94504,56;76871,98;-;-;17632,58;-;-;1629,39;1629,39;483;8,3;18;31,03
"220220 Campo Maior";26;26;39000,00;31095,74;-;-;7904,26;-;-;1500,00;1500,00;159;6,1;2;7,69
"220230 Canto do Buriti";29;29;43500,00;34683,71;-;-;8816,29;-;-;1500,00;1500,00;121;4,2;-;-
"220290 Corrente";11;11;16500,00;13155,89;-;-;3344,11;-;-;1500,00;1500,00;54;4,9;1;9,09
"220320 Curimatá";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;25;5,0;-;-
"220330 Demerval Lobão";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;33;6,6;-;-
"220370 Esperantina";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;16;2,7;-;-
"220390 Floriano";156;156;258769,53;210823,95;-;-;47945,58;-;-;1658,78;1658,78;986;6,3;25;16,03
"220550 José de Freitas";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"220580 Luzilândia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"220700 Oeiras";42;42;135749,91;113214,42;-;-;22535,49;-;-;3232,14;3232,14;310;7,4;5;11,90
"220760 Parnaguá";32;32;48000,00;38271,68;-;-;9728,32;-;-;1500,00;1500,00;97;3,0;-;-
