,DataObito,Sistema,Quantidade
570,2020-06-09,Sivep,776.0
571,2020-06-10,Sivep,850.0
572,2020-06-11,Sivep,805.0
573,2020-06-12,Sivep,813.0
574,2020-06-13,Sivep,843.0
575,2020-06-14,Sivep,782.0
576,2020-06-15,Sivep,832.0
577,2020-06-16,Sivep,852.0
578,2020-06-17,Sivep,841.0
579,2020-06-18,Sivep,821.0
580,2020-06-19,Sivep,807.0
581,2020-06-20,Sivep,795.0
582,2020-06-21,Sivep,821.0
583,2020-06-22,Sivep,864.0
584,2020-06-23,Sivep,786.0
585,2020-06-24,Sivep,846.0
586,2020-06-25,Sivep,812.0
587,2020-06-26,Sivep,791.0
588,2020-06-27,Sivep,777.0
589,2020-06-28,Sivep,822.0
590,2020-06-29,Sivep,856.0
591,2020-06-30,Sivep,831.0
592,2020-07-01,Sivep,824.0
593,2020-07-02,Sivep,884.0
594,2020-07-03,Sivep,844.0
595,2020-07-04,Sivep,826.0
596,2020-07-05,Sivep,871.0
597,2020-07-06,Sivep,857.0
598,2020-07-07,Sivep,886.0
599,2020-07-08,Sivep,883.0
600,2020-07-09,Sivep,877.0
601,2020-07-10,Sivep,864.0
602,2020-07-11,Sivep,836.0
603,2020-07-12,Sivep,956.0
604,2020-07-13,Sivep,931.0
605,2020-07-14,Sivep,913.0
606,2020-07-15,Sivep,929.0
607,2020-07-16,Sivep,900.0
608,2020-07-17,Sivep,955.0
609,2020-07-18,Sivep,939.0
610,2020-07-19,Sivep,882.0
611,2020-07-20,Sivep,850.0
612,2020-07-21,Sivep,963.0
613,2020-07-22,Sivep,933.0
614,2020-07-23,Sivep,877.0
615,2020-07-24,Sivep,866.0
616,2020-07-25,Sivep,923.0
617,2020-07-26,Sivep,850.0
618,2020-07-27,Sivep,889.0
619,2020-07-28,Sivep,889.0
620,2020-07-29,Sivep,943.0
621,2020-07-30,Sivep,913.0
622,2020-07-31,Sivep,876.0
623,2020-08-01,Sivep,885.0
624,2020-08-02,Sivep,827.0
625,2020-08-03,Sivep,849.0
626,2020-08-04,Sivep,882.0
627,2020-08-05,Sivep,844.0
628,2020-08-06,Sivep,856.0
629,2020-08-07,Sivep,823.0
630,2020-08-08,Sivep,854.0
631,2020-08-09,Sivep,828.0
632,2020-08-10,Sivep,842.0
633,2020-08-11,Sivep,757.0
634,2020-08-12,Sivep,824.0
635,2020-08-13,Sivep,792.0
636,2020-08-14,Sivep,799.0
637,2020-08-15,Sivep,793.0
638,2020-08-16,Sivep,785.0
639,2020-08-17,Sivep,754.0
640,2020-08-18,Sivep,741.0
641,2020-08-19,Sivep,776.0
642,2020-08-20,Sivep,713.0
643,2020-08-21,Sivep,722.0
644,2020-08-22,Sivep,758.0
645,2020-08-23,Sivep,710.0
646,2020-08-24,Sivep,755.0
647,2020-08-25,Sivep,699.0
648,2020-08-26,Sivep,710.0
649,2020-08-27,Sivep,688.0
650,2020-08-28,Sivep,723.0
651,2020-08-29,Sivep,673.0
652,2020-08-30,Sivep,710.0
653,2020-08-31,Sivep,722.0
654,2020-09-01,Sivep,694.0
655,2020-09-02,Sivep,672.0
656,2020-09-03,Sivep,649.0
657,2020-09-04,Sivep,679.0
658,2020-09-05,Sivep,639.0
659,2020-09-06,Sivep,645.0
660,2020-09-07,Sivep,664.0
661,2020-09-08,Sivep,650.0
662,2020-09-09,Sivep,584.0
663,2020-09-10,Sivep,572.0
664,2020-09-11,Sivep,649.0
665,2020-09-12,Sivep,635.0
666,2020-09-13,Sivep,591.0
667,2020-09-14,Sivep,586.0
668,2020-09-15,Sivep,574.0
669,2020-09-16,Sivep,579.0
670,2020-09-17,Sivep,573.0
671,2020-09-18,Sivep,571.0
672,2020-09-19,Sivep,586.0
673,2020-09-20,Sivep,524.0
674,2020-09-21,Sivep,536.0
675,2020-09-22,Sivep,516.0
676,2020-09-23,Sivep,488.0
677,2020-09-24,Sivep,536.0
678,2020-09-25,Sivep,553.0
679,2020-09-26,Sivep,515.0
680,2020-09-27,Sivep,490.0
681,2020-09-28,Sivep,524.0
682,2020-09-29,Sivep,582.0
683,2020-09-30,Sivep,500.0
684,2020-10-01,Sivep,545.0
685,2020-10-02,Sivep,536.0
686,2020-10-03,Sivep,494.0
687,2020-10-04,Sivep,497.0
688,2020-10-05,Sivep,506.0
689,2020-10-06,Sivep,471.0
690,2020-10-07,Sivep,460.0
691,2020-10-08,Sivep,488.0
692,2020-10-09,Sivep,461.0
693,2020-10-10,Sivep,477.0
694,2020-10-11,Sivep,435.0
695,2020-10-12,Sivep,389.0
696,2020-10-13,Sivep,401.0
697,2020-10-14,Sivep,422.0
698,2020-10-15,Sivep,413.0
699,2020-10-16,Sivep,408.0
700,2020-10-17,Sivep,351.0
701,2020-10-18,Sivep,376.0
702,2020-10-19,Sivep,407.0
703,2020-10-20,Sivep,362.0
704,2020-10-21,Sivep,392.0
705,2020-10-22,Sivep,368.0
706,2020-10-23,Sivep,380.0
707,2020-10-24,Sivep,339.0
708,2020-10-25,Sivep,405.0
709,2020-10-26,Sivep,388.0
710,2020-10-27,Sivep,365.0
711,2020-10-28,Sivep,393.0
712,2020-10-29,Sivep,385.0
713,2020-10-30,Sivep,384.0
714,2020-10-31,Sivep,311.0
715,2020-11-01,Sivep,347.0
716,2020-11-02,Sivep,336.0
717,2020-11-03,Sivep,361.0
718,2020-11-04,Sivep,385.0
719,2020-11-05,Sivep,376.0
720,2020-11-06,Sivep,364.0
721,2020-11-07,Sivep,381.0
722,2020-11-08,Sivep,363.0
723,2020-11-09,Sivep,365.0
724,2020-11-10,Sivep,367.0
725,2020-11-11,Sivep,406.0
726,2020-11-12,Sivep,381.0
727,2020-11-13,Sivep,400.0
728,2020-11-14,Sivep,371.0
729,2020-11-15,Sivep,367.0
730,2020-11-16,Sivep,423.0
731,2020-11-17,Sivep,401.0
732,2020-11-18,Sivep,408.0
733,2020-11-19,Sivep,438.0
734,2020-11-20,Sivep,426.0
735,2020-11-21,Sivep,438.0
736,2020-11-22,Sivep,478.0
737,2020-11-23,Sivep,470.0
738,2020-11-24,Sivep,488.0
739,2020-11-25,Sivep,472.0
740,2020-11-26,Sivep,510.0
741,2020-11-27,Sivep,517.0
742,2020-11-28,Sivep,529.0
743,2020-11-29,Sivep,585.0
744,2020-11-30,Sivep,611.0
745,2020-12-01,Sivep,609.0
746,2020-12-02,Sivep,636.0
747,2020-12-03,Sivep,608.0
748,2020-12-04,Sivep,638.0
749,2020-12-05,Sivep,630.0
750,2020-12-06,Sivep,606.0
751,2020-12-07,Sivep,660.0
752,2020-12-08,Sivep,667.0
753,2020-12-09,Sivep,684.0
754,2020-12-10,Sivep,692.0
755,2020-12-11,Sivep,725.0
756,2020-12-12,Sivep,716.0
757,2020-12-13,Sivep,775.0
758,2020-12-14,Sivep,730.0
759,2020-12-15,Sivep,761.0
760,2020-12-16,Sivep,781.0
761,2020-12-17,Sivep,775.0
762,2020-12-18,Sivep,786.0
763,2020-12-19,Sivep,807.0
764,2020-12-20,Sivep,786.0
765,2020-12-21,Sivep,754.0
766,2020-12-22,Sivep,776.0
767,2020-12-23,Sivep,849.0
768,2020-12-24,Sivep,711.0
769,2020-12-25,Sivep,780.0
770,2020-12-26,Sivep,745.0
771,2020-12-27,Sivep,751.0
772,2020-12-28,Sivep,765.0
773,2020-12-29,Sivep,799.0
774,2020-12-30,Sivep,764.0
775,2020-12-31,Sivep,760.0
776,2021-01-01,Sivep,755.0
777,2021-01-02,Sivep,835.0
778,2021-01-03,Sivep,787.0
779,2021-01-04,Sivep,792.0
780,2021-01-05,Sivep,778.0
781,2021-01-06,Sivep,759.0
782,2021-01-07,Sivep,857.0
783,2021-01-08,Sivep,873.0
784,2021-01-09,Sivep,856.0
785,2021-01-10,Sivep,859.0
786,2021-01-11,Sivep,895.0
787,2021-01-12,Sivep,894.0
788,2021-01-13,Sivep,855.0
789,2021-01-14,Sivep,869.0
