 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jun/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"160030 Macapá";172;172;353736,40;287237,95;-;-;66498,45;-;-;2056,61;2056,61;1207;7,0;43;25,00
"160050 Oiapoque";44;44;66000,00;52623,56;-;-;13376,44;-;-;1500,00;1500,00;151;3,4;1;2,27
"160060 Santana";151;151;231406,53;185079,20;-;-;46327,33;-;-;1532,49;1532,49;1032;6,8;76;50,33
"170210 Araguaína";114;114;576178,13;487473,36;-;-;88704,77;-;-;5054,19;5054,19;807;7,1;31;27,19
"170230 Arapoema";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;1;0,3;-;-
"170255 Augustinópolis";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;3;1,5;-;-
"170550 Colinas do Tocantins";9;9;13508,39;10772,30;-;-;2736,09;-;-;1500,93;1500,93;18;2,0;-;-
"170900 Goiatins";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;45;7,5;-;-
"170930 Guaraí";6;6;9060,71;7236,65;-;-;1824,06;-;-;1510,12;1510,12;15;2,5;3;50,00
"170950 Gurupi";14;14;24396,15;20140,02;-;-;4256,13;-;-;1742,58;1742,58;123;8,8;6;42,86
"171190 Lagoa da Confusão";18;18;27000,00;21527,82;-;-;5472,18;-;-;1500,00;1500,00;56;3,1;-;-
"171320 Miracema do Tocantins";6;6;9082,68;7258,62;-;-;1824,06;-;-;1513,78;1513,78;41;6,8;-;-
"172100 Palmas";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;-;-;-;-
"171610 Paraíso do Tocantins";4;4;6012,70;4796,66;-;-;1216,04;-;-;1503,17;1503,17;20;5,0;-;-
"171820 Porto Nacional";1;1;1520,67;1216,66;-;-;304,01;-;-;1520,67;1520,67;2;2,0;-;-
"172120 Tocantinópolis";15;15;22740,20;18180,05;-;-;4560,15;-;-;1516,01;1516,01;29;1,9;-;-
"172210 Xambioá";1;1;1540,00;1235,99;-;-;304,01;-;-;1540,00;1540,00;5;5,0;-;-
"210005 Açailândia";325;325;946255,90;782473,45;-;-;163782,45;-;-;2911,56;2911,56;1706;5,2;65;20,00
"210047 Alto Alegre do Pindaré";22;22;33672,00;26983,78;-;-;6688,22;-;-;1530,55;1530,55;85;3,9;1;4,55
"210060 Amarante do Maranhão";22;22;33616,00;26927,78;-;-;6688,22;-;-;1528,00;1528,00;77;3,5;-;-
"210080 Anapurus";6;6;9064,00;7239,94;-;-;1824,06;-;-;1510,67;1510,67;9;1,5;-;-
"210090 Araioses";2;2;3032,00;2423,98;-;-;608,02;-;-;1516,00;1516,00;4;2,0;-;-
"210095 Arame";14;14;21008,00;16751,86;-;-;4256,14;-;-;1500,57;1500,57;25;1,8;-;-
"210120 Bacabal";130;130;243746,15;199699,89;-;-;44046,26;-;-;1874,97;1874,97;810;6,2;37;28,46
"210130 Bacuri";17;17;26028,00;20859,83;-;-;5168,17;-;-;1531,06;1531,06;68;4,0;-;-
"210140 Balsas";30;30;140705,12;119109,62;-;-;21595,50;-;-;4690,17;4690,17;258;8,6;9;30,00
"210160 Barra do Corda";39;39;367300,00;311594,01;-;-;55705,99;-;-;9417,95;9417,95;193;4,9;-;-
"210170 Barreirinhas";4;4;6626,71;5410,67;-;-;1216,04;-;-;1656,68;1656,68;17;4,3;1;25,00
"210177 Bela Vista do Maranhão";9;9;13500,00;10763,91;-;-;2736,09;-;-;1500,00;1500,00;34;3,8;-;-
"210193 Bernardo do Mearim";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;32;4,6;-;-
"210200 Bom Jardim";22;22;33000,00;26311,78;-;-;6688,22;-;-;1500,00;1500,00;71;3,2;-;-
"210203 Bom Jesus das Selvas";23;23;34884,00;27891,77;-;-;6992,23;-;-;1516,70;1516,70;49;2,1;1;4,35
"210230 Buriti Bravo";2;2;3072,00;2463,98;-;-;608,02;-;-;1536,00;1536,00;9;4,5;-;-
"210240 Cajapió";13;13;19700,00;15747,87;-;-;3952,13;-;-;1515,38;1515,38;29;2,2;-;-
"210290 Carutapera";10;10;15015,99;11975,90;-;-;3040,09;-;-;1501,60;1501,60;64;6,4;2;20,00
"210300 Caxias";123;123;284659,35;234723,12;-;-;49936,23;-;-;2314,30;2314,30;778;6,3;51;41,46
"210320 Chapadinha";75;75;146148,16;118872,61;-;-;27275,55;-;-;1948,64;1948,64;249;3,3;16;21,33
"210325 Cidelândia";6;6;9072,00;7247,94;-;-;1824,06;-;-;1512,00;1512,00;9;1,5;-;-
"210330 Codó";77;77;115793,64;92384,87;-;-;23408,77;-;-;1503,81;1503,81;485;6,3;30;38,96
"210350 Colinas";27;27;40500,00;32291,73;-;-;8208,27;-;-;1500,00;1500,00;78;2,9;-;-
"210355 Conceição do Lago-Açu";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;7;2,3;-;-
"210360 Coroatá";28;28;259457,18;220639,30;-;-;38817,88;-;-;9266,33;9266,33;159;5,7;14;50,00
"210370 Cururupu";53;53;79500,00;63387,47;-;-;16112,53;-;-;1500,00;1500,00;239;4,5;9;16,98
"210380 Dom Pedro";26;26;39904,00;31999,74;-;-;7904,26;-;-;1534,77;1534,77;170;6,5;-;-
"210400 Esperantinópolis";28;28;42848,00;34335,72;-;-;8512,28;-;-;1530,29;1530,29;115;4,1;-;-
"210405 Estreito";10;10;15296,00;12255,90;-;-;3040,10;-;-;1529,60;1529,60;38;3,8;-;-
"210407 Feira Nova do Maranhão";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;12;4,0;-;-
"210408 Fernando Falcão";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;11;3,7;-;-
"210420 Fortuna";1;1;1700,00;1395,99;-;-;304,01;-;-;1700,00;1700,00;25;25,0;-;-
"210440 Gonçalves Dias";8;8;12128,00;9695,92;-;-;2432,08;-;-;1516,00;1516,00;41;5,1;-;-
"210465 Governador Newton Bello";21;21;31836,00;25451,79;-;-;6384,21;-;-;1516,00;1516,00;44;2,1;-;-
"210467 Governador Nunes Freire";53;53;80916,00;64803,47;-;-;16112,53;-;-;1526,72;1526,72;181;3,4;6;11,32
"210480 Grajaú";51;51;77894,66;62359,85;-;-;15534,81;-;-;1527,35;1527,35;265;5,2;4;7,84
"210500 Humberto de Campos";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;36;36,0;-;-
"210520 Igarapé Grande";25;25;37500,00;29899,75;-;-;7600,25;-;-;1500,00;1500,00;76;3,0;-;-
"210530 Imperatriz";160;160;720217,87;604464,27;-;-;115753,60;-;-;4501,36;4501,36;977;6,1;39;24,38
"210535 Itaipava do Grajaú";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;2;1,0;-;-
"210540 Itapecuru Mirim";24;24;37089,74;29793,51;-;-;7296,23;-;-;1545,41;1545,41;113;4,7;1;4,17
"210542 Itinga do Maranhão";13;13;19500,00;15547,87;-;-;3952,13;-;-;1500,00;1500,00;39;3,0;-;-
"210547 Jenipapo dos Vieiras";22;22;33072,00;26383,78;-;-;6688,22;-;-;1503,27;1503,27;82;3,7;-;-
"210550 João Lisboa";20;20;30200,00;24119,80;-;-;6080,20;-;-;1510,00;1510,00;110;5,5;-;-
"210570 Lago da Pedra";49;49;75004,00;60107,51;-;-;14896,49;-;-;1530,69;1530,69;187;3,8;3;6,12
"210610 Loreto";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
