 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Mar-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"430790 Farroupilha";-;2;-;7;2;2;2;4;11;30
"430800 Faxinal do Soturno";-;-;-;-;-;-;-;1;-;1
"430810 Feliz";-;-;-;-;-;4;-;-;-;4
"430850 Frederico Westphalen";-;-;1;2;3;2;3;1;-;12
"430860 Garibaldi";-;1;-;10;6;4;4;2;3;30
"430890 Getúlio Vargas";-;-;-;-;1;-;1;-;1;3
"430900 Giruá";-;-;-;-;-;-;-;5;-;5
"430910 Gramado";-;-;-;2;12;5;4;5;-;28
"430920 Gravataí";-;-;-;9;2;10;11;23;11;66
"430940 Guaporé";-;-;-;1;2;-;-;1;1;5
"430950 Guarani das Missões";-;-;-;-;-;-;-;1;-;1
"430960 Horizontina";-;-;-;1;-;1;1;-;1;4
"431000 Ibirubá";-;-;1;3;1;1;-;-;-;6
"431010 Igrejinha";-;-;-;3;3;4;3;2;1;16
"431020 Ijuí";-;-;1;-;2;4;4;8;6;25
"431060 Itaqui";-;-;-;-;-;1;-;-;1;2
"431080 Ivoti";-;-;-;1;-;-;-;-;-;1
"431100 Jaguarão";-;-;-;-;2;-;-;-;2;4
"431110 Jaguari";-;-;-;-;-;-;-;4;2;6
"431130 Lagoa Vermelha";-;-;-;-;-;2;1;1;1;5
"431140 Lajeado";-;7;3;9;9;1;-;-;-;29
"431180 Marau";-;-;-;1;2;5;1;1;-;10
"431205 Marques de Souza";-;-;-;-;1;1;-;-;-;2
"431240 Montenegro";-;-;-;2;5;3;4;3;5;22
"431260 Muçum";-;-;-;-;-;1;-;-;-;1
"431270 Nonoai";-;-;-;-;-;-;-;-;2;2
"431290 Nova Bassano";-;-;-;-;1;-;-;-;-;1
"431320 Nova Petrópolis";-;-;-;-;-;-;-;-;1;1
"431330 Nova Prata";-;-;-;-;-;-;1;1;-;2
"431340 Novo Hamburgo";1;-;15;47;25;22;10;23;27;170
"431350 Osório";-;3;3;10;11;10;6;8;10;61
"431370 Palmeira das Missões";-;-;2;-;-;-;2;-;2;6
"431380 Palmitinho";-;-;-;-;-;-;1;-;-;1
"431390 Panambi";-;-;-;-;-;-;-;-;8;8
"431400 Paraí";-;-;-;-;-;1;-;-;-;1
"431405 Parobé";-;-;-;-;1;7;45;25;18;96
"431410 Passo Fundo";-;27;21;44;49;35;43;16;36;271
"431420 Pedro Osório";-;-;-;-;2;-;-;-;-;2
"431440 Pelotas";-;-;1;3;29;25;63;29;28;178
"431480 Portão";-;-;-;2;-;2;1;2;2;9
"431490 Porto Alegre";-;10;29;116;173;262;235;176;203;1204
"431560 Rio Grande";-;5;16;36;41;33;24;29;22;206
"431570 Rio Pardo";-;-;2;3;1;1;-;1;2;10
"431580 Roca Sales";-;1;-;-;-;-;-;-;-;1
"431600 Rolante";-;-;-;1;1;-;-;1;-;3
"431620 Rondinha";-;-;-;-;-;-;1;-;-;1
"431640 Rosário do Sul";-;-;-;-;-;1;1;2;16;20
"431660 Sananduva";-;-;1;-;-;-;4;-;1;6
"431710 Sant'Ana do Livramento";-;1;-;1;1;-;-;-;2;5
"431670 Santa Bárbara do Sul";-;-;-;-;-;-;1;1;1;3
"431680 Santa Cruz do Sul";-;1;-;3;7;9;9;2;8;39
"431690 Santa Maria";-;1;1;8;10;22;13;9;15;79
"431720 Santa Rosa";-;1;1;8;3;22;5;3;23;66
"431730 Santa Vitória do Palmar";-;-;-;1;1;-;-;-;-;2
"431740 Santiago";-;-;-;-;-;2;2;-;-;4
"431750 Santo Ângelo";-;2;6;5;5;7;3;4;11;43
"431760 Santo Antônio da Patrulha";-;-;2;5;2;3;1;3;9;25
"431790 Santo Cristo";-;-;-;-;-;-;1;-;1;2
"431800 São Borja";-;-;-;5;5;5;6;6;-;27
"431810 São Francisco de Assis";-;-;-;-;-;-;-;-;1;1
"431820 São Francisco de Paula";-;-;-;-;-;-;-;-;1;1
"431830 São Gabriel";-;-;3;3;2;3;-;4;19;34
"431840 São Jerônimo";-;-;-;1;3;6;12;10;6;38
"431860 São José do Ouro";-;-;-;-;-;1;-;1;1;3
"431870 São Leopoldo";3;-;12;18;37;25;31;32;23;181
"431880 São Lourenço do Sul";1;-;-;-;4;2;1;2;10;20
"431890 São Luiz Gonzaga";-;-;-;-;3;1;2;-;-;6
"431900 São Marcos";-;-;-;-;-;-;-;-;1;1
"431940 São Pedro do Sul";-;-;-;-;-;-;-;1;-;1
"431950 São Sebastião do Caí";-;-;-;-;3;16;-;2;-;21
"431960 São Sepé";-;-;-;-;-;-;1;1;-;2
"431990 Sapiranga";-;-;3;13;4;9;7;5;13;54
"432000 Sapucaia do Sul";-;2;1;13;13;9;13;5;20;76
"432010 Sarandi";-;-;-;-;1;-;-;1;-;2
"432030 Selbach";-;-;-;-;-;-;1;-;-;1
"432040 Serafina Corrêa";-;-;-;1;-;-;-;-;-;1
"432080 Soledade";-;-;-;2;4;4;4;6;1;21
"432090 Tapejara";-;-;-;2;1;1;-;-;1;5
"432120 Taquara";-;-;-;4;9;4;1;1;9;28
"432130 Taquari";-;-;-;6;6;9;12;2;-;35
"432140 Tenente Portela";-;-;-;3;2;1;1;4;3;14
"432145 Teutônia";1;-;3;-;2;-;-;1;-;7
"432150 Torres";-;-;-;2;4;1;3;8;8;26
"432160 Tramandaí";-;-;4;8;5;7;9;13;23;69
"432170 Três Coroas";-;-;-;3;3;-;-;-;-;6
"432180 Três de Maio";-;-;-;1;-;-;-;2;1;4
"432190 Três Passos";-;-;2;5;2;3;6;7;2;27
"432200 Triunfo";-;-;-;3;1;-;-;-;-;4
"432210 Tucunduva";-;-;-;-;-;-;1;-;-;1
"432230 Tuparendi";-;-;-;-;-;-;-;-;1;1
"432240 Uruguaiana";-;-;-;-;1;2;2;8;-;13
"432250 Vacaria";-;-;-;6;11;7;11;-;4;39
"432260 Venâncio Aires";-;8;-;8;7;7;5;7;5;47
"432270 Vera Cruz";-;-;-;-;-;1;1;-;-;2
"432280 Veranópolis";-;-;-;-;-;-;1;-;-;1
"432300 Viamão";-;-;-;25;23;6;16;10;12;92
"500070 Anastácio";-;-;-;-;-;1;1;1;-;3
"500100 Aparecida do Taboado";-;-;-;-;1;-;-;-;-;1
"500110 Aquidauana";-;-;-;-;4;16;17;7;1;45
"500190 Bataguassu";-;-;-;-;1;1;-;-;-;2
"500220 Bonito";-;-;-;-;-;-;-;-;1;1
"500270 Campo Grande";-;-;-;7;58;73;111;64;113;426
"500290 Cassilândia";-;-;-;-;1;3;-;-;-;4
"500295 Chapadão do Sul";-;-;-;-;-;4;2;-;-;6
"500320 Corumbá";-;-;-;-;-;25;41;33;37;136
"500325 Costa Rica";-;-;-;-;4;1;3;-;4;12
"500330 Coxim";-;-;-;1;3;3;3;-;-;10
"500348 Dois Irmãos do Buriti";-;-;-;-;-;-;-;-;1;1
"500370 Dourados";-;-;1;23;19;31;9;-;-;83
"500380 Fátima do Sul";-;-;-;-;-;2;2;-;1;5
"500460 Itaquiraí";-;-;-;-;1;-;-;-;-;1
"500470 Ivinhema";-;-;-;-;1;-;-;-;-;1
"500560 Miranda";-;-;-;-;-;1;-;-;-;1
"500570 Naviraí";-;-;-;1;-;1;1;-;1;4
"500620 Nova Andradina";-;-;-;-;1;6;-;9;2;18
"500630 Paranaíba";-;-;2;1;5;11;-;-;-;19
"500660 Ponta Porã";-;-;-;1;1;2;4;13;11;32
"500769 São Gabriel do Oeste";-;-;-;1;-;-;1;-;3;5
"500790 Sidrolândia";-;-;-;1;4;1;1;-;-;7
"500830 Três Lagoas";2;2;2;2;6;8;8;-;4;34
"510020 Água Boa";-;-;4;6;1;-;-;-;-;11
"510025 Alta Floresta";-;3;2;4;6;3;4;2;4;28
"510170 Barra do Bugres";-;1;-;-;-;-;-;-;-;1
"510180 Barra do Garças";-;3;15;16;26;17;7;3;-;87
"510250 Cáceres";-;-;-;23;22;22;8;7;7;89
"510267 Campo Verde";-;-;-;4;1;1;-;1;3;10
"510320 Colíder";-;-;-;5;1;5;2;1;1;15
"510340 Cuiabá";-;-;45;116;97;83;44;21;19;425
"510390 General Carneiro";-;-;-;-;-;1;-;-;-;1
"510420 Guiratinga";-;-;-;-;-;-;-;1;-;1
"510480 Jaciara";-;-;-;-;6;2;1;2;-;11
"510510 Juara";-;-;-;2;-;-;-;-;-;2
"510515 Juína";-;-;1;11;3;6;3;2;2;28
"510517 Juruena";-;-;-;-;1;-;-;-;-;1
"510525 Lucas do Rio Verde";-;-;-;-;6;8;13;-;-;27
"510560 Matupá";-;-;-;-;-;1;-;-;-;1
"510562 Mirassol d'Oeste";-;-;-;-;4;3;2;-;-;9
"510590 Nobres";-;-;-;1;-;1;-;-;-;2
"510622 Nova Mutum";-;-;-;4;-;-;-;5;-;9
"510625 Nova Xavantina";-;-;-;1;-;-;-;-;-;1
"510630 Paranatinga";-;-;-;2;-;4;-;-;-;6
"510637 Pedra Preta";-;-;-;-;1;1;-;-;-;2
"510642 Peixoto de Azevedo";-;-;-;4;2;1;1;-;-;8
"510650 Poconé";-;-;-;-;-;10;3;-;-;13
"510675 Pontes e Lacerda";-;-;7;15;1;-;-;-;-;23
"510700 Poxoréo";-;-;-;1;2;2;-;1;-;6
"510704 Primavera do Leste";-;-;-;-;-;-;7;4;10;21
"510706 Querência";-;-;-;-;-;-;1;-;-;1
"510760 Rondonópolis";-;-;2;31;61;78;62;44;29;307
"510787 Sapezal";-;-;-;-;1;-;-;-;-;1
"510790 Sinop";-;-;-;19;28;54;47;22;14;184
"510792 Sorriso";-;-;4;7;9;8;-;1;1;30
"510795 Tangará da Serra";-;-;5;13;21;14;10;9;-;72
"510840 Várzea Grande";-;-;4;65;112;33;75;104;24;417
"520025 Águas Lindas de Goiás";-;-;11;3;2;1;1;1;-;19
"520030 Alexânia";-;-;1;-;-;-;-;-;-;1
"520080 Alvorada do Norte";-;-;-;-;-;-;1;-;1;2
"520110 Anápolis";-;1;1;27;45;23;34;20;5;156
"520140 Aparecida de Goiânia";-;2;23;94;168;85;64;32;19;487
"520215 Araguapaz";-;-;-;-;-;1;-;-;-;1
"520330 Bela Vista de Goiás";-;-;-;1;-;1;2;-;2;6
"520350 Bom Jesus de Goiás";-;-;-;-;-;1;-;-;-;1
"520410 Cachoeira Alta";-;-;-;-;1;1;-;-;-;2
"520510 Catalão";-;-;-;2;16;21;10;10;5;64
"520620 Cristalina";-;-;-;1;-;1;-;-;-;2
"520800 Formosa";-;-;-;-;3;10;17;10;6;46
