 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Ago/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"520890 Goiás";6;6;9802,86;7978,80;-;-;1824,06;-;-;1633,81;1633,81;21;3,5;-;-
"520910 Goiatuba";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;18;9,0;-;-
"520970 Hidrolândia";13;13;19572,00;15619,87;-;-;3952,13;-;-;1505,54;1505,54;32;2,5;-;-
"521010 Ipameri";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;1;0,3;-;-
"521040 Itaberaí";22;22;33000,00;26311,78;-;-;6688,22;-;-;1500,00;1500,00;47;2,1;-;-
"521060 Itaguaru";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"521090 Itapaci";12;12;18028,70;14380,58;-;-;3648,12;-;-;1502,39;1502,39;41;3,4;2;16,67
"521120 Itapuranga";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;7;3,5;-;-
"521140 Itauçu";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;25;6,3;1;25,00
"521150 Itumbiara";86;86;131783,92;105565,54;-;-;26218,38;-;-;1532,37;1532,37;187;2,2;7;8,14
"521190 Jataí";90;90;469701,34;398736,18;-;-;70965,16;-;-;5218,90;5218,90;707;7,9;10;11,11
"521220 Jussara";3;3;4540,00;3627,97;-;-;912,03;-;-;1513,33;1513,33;15;5,0;-;-
"521250 Luziânia";142;142;267583,46;217767,67;-;-;49815,79;-;-;1884,39;1884,39;1150;8,1;26;18,31
"521260 Mairipotaba";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"521270 Mambaí";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"521308 Minaçu";15;15;22500,00;17939,85;-;-;4560,15;-;-;1500,00;1500,00;51;3,4;-;-
"521310 Mineiros";4;4;6039,94;4823,90;-;-;1216,04;-;-;1509,98;1509,98;14;3,5;-;-
"521380 Morrinhos";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;42;3,5;-;-
"521400 Mozarlândia";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;28;4,0;-;-
"521450 Nerópolis";65;65;480150,37;409306,92;-;-;70843,45;-;-;7386,93;7386,93;766;11,8;19;29,23
"521460 Niquelândia";8;8;12192,00;9759,92;-;-;2432,08;-;-;1524,00;1524,00;29;3,6;-;-
"521530 Orizona";8;8;12000,00;9567,92;-;-;2432,08;-;-;1500,00;1500,00;45;5,6;-;-
"521630 Paranaiguara";10;10;15313,34;12273,24;-;-;3040,10;-;-;1531,33;1531,33;44;4,4;1;10,00
"521710 Piracanjuba";6;6;9056,00;7231,94;-;-;1824,06;-;-;1509,33;1509,33;17;2,8;-;-
"521720 Piranhas";2;2;3001,00;2392,98;-;-;608,02;-;-;1500,50;1500,50;9;4,5;-;-
"521730 Pirenópolis";13;13;19844,00;15891,87;-;-;3952,13;-;-;1526,46;1526,46;59;4,5;1;7,69
"521740 Pires do Rio";18;18;27192,00;21719,82;-;-;5472,18;-;-;1510,67;1510,67;43;2,4;1;5,56
"521760 Planaltina";36;36;54640,00;43695,64;-;-;10944,36;-;-;1517,78;1517,78;148;4,1;9;25,00
"521770 Pontalina";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;10;0,8;-;-
"521800 Porangatu";91;91;689646,12;587005,21;-;-;102640,91;-;-;7578,53;7578,53;585;6,4;30;32,97
"521830 Posse";23;23;35260,00;28267,77;-;-;6992,23;-;-;1533,04;1533,04;109;4,7;3;13,04
"521850 Quirinópolis";38;38;62260,99;50704,74;-;-;11556,25;-;-;1638,45;1638,45;180;4,7;1;2,63
"521860 Rialma";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;22;1,8;-;-
"521880 Rio Verde";144;144;217359,67;173477,74;-;-;43881,93;-;-;1509,44;1509,44;689;4,8;12;8,33
"521890 Rubiataba";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;7;1,8;-;-
"521930 Santa Helena de Goiás";43;43;64981,44;51816,13;-;-;13165,31;-;-;1511,20;1511,20;320;7,4;-;-
"521975 Santo Antônio do Descoberto";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;48;3,4;-;-
"522020 São Miguel do Araguaia";3;3;4548,00;3635,97;-;-;912,03;-;-;1516,00;1516,00;6;2,0;-;-
"522040 São Simão";9;9;14651,33;11915,24;-;-;2736,09;-;-;1627,93;1627,93;46;5,1;-;-
"522045 Senador Canedo";1;1;10595,68;9003,47;-;-;1592,21;-;-;10595,68;10595,68;23;23,0;1;100,00
"522140 Trindade";83;83;337077,22;282225,26;-;-;54851,96;-;-;4061,17;4061,17;560;6,7;18;21,69
"522185 Valparaíso de Goiás";27;27;40500,00;32291,73;-;-;8208,27;-;-;1500,00;1500,00;42;1,6;-;-
"522200 Vianópolis";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;15;3,8;-;-
"530010 Brasília";2124;2124;9999991,58;8494919,03;-;-;1505072,55;-;-;4708,09;4708,09;18962;8,9;384;18,08
"Total";76692;76692;387692214,24;328677498,86;-;703,80;59014011,58;-;-;5055,18;5055,18;641229;8,4;15752;20,54
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
