 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"150170 Bragança";90;90;641659,82;545649,69;-;-;96010,13;-;-;7129,55;7129,55;803;8,9;15;16,67
"150172 Brasil Novo";22;22;33000,00;26311,78;-;-;6688,22;-;-;1500,00;1500,00;95;4,3;1;4,55
"150180 Breves";168;168;269079,57;217051,11;-;-;52028,46;-;-;1601,66;1601,66;985;5,9;19;11,31
"150190 Bujaru";18;18;27504,00;22031,82;-;-;5472,18;-;-;1528,00;1528,00;61;3,4;2;11,11
"150215 Canaã dos Carajás";23;23;34500,00;27507,77;-;-;6992,23;-;-;1500,00;1500,00;138;6,0;2;8,70
"150220 Capanema";15;15;29796,00;24631,53;-;-;5164,47;-;-;1986,40;1986,40;106;7,1;-;-
"150230 Capitão Poço";16;16;24056,00;19191,84;-;-;4864,16;-;-;1503,50;1503,50;77;4,8;-;-
"150240 Castanhal";163;163;556326,67;465031,25;-;-;91295,42;-;-;3413,05;3413,05;1407;8,6;25;15,34
"150270 Conceição do Araguaia";21;21;31996,00;25611,79;-;-;6384,21;-;-;1523,62;1523,62;62;3,0;-;-
"150276 Cumaru do Norte";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"150277 Curionópolis";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;10;1,4;1;14,29
"150280 Curralinho";25;25;38037,00;30436,75;-;-;7600,25;-;-;1521,48;1521,48;68;2,7;-;-
"150293 Dom Eliseu";17;17;25828,00;20659,83;-;-;5168,17;-;-;1519,29;1519,29;59;3,5;2;11,76
"150295 Eldorado do Carajás";7;7;10660,00;8531,93;-;-;2128,07;-;-;1522,86;1522,86;35;5,0;-;-
"150307 Garrafão do Norte";12;12;18480,00;14831,88;-;-;3648,12;-;-;1540,00;1540,00;60;5,0;-;-
"150320 Igarapé-Açu";54;54;82185,08;65698,88;-;-;16486,20;-;-;1521,95;1521,95;330;6,1;9;16,67
"150330 Igarapé-Miri";3;3;4572,00;3659,97;-;-;912,03;-;-;1524,00;1524,00;9;3,0;-;-
"150340 Inhangapi";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;21;10,5;-;-
