 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"210460 Governador Eugênio Barros";32;48288,00;160;-
"210462 Governador Luiz Rocha";3;4500,00;11;-
"210465 Governador Newton Bello";64;97056,00;134;-
"210467 Governador Nunes Freire";170;259392,00;570;17
"210480 Grajaú";295;559883,96;1547;22
"210500 Humberto de Campos";1;1500,00;36;-
"210510 Icatu";2;3024,00;3;-
"210520 Igarapé Grande";160;240376,00;740;-
"210530 Imperatriz";1518;4372161,10;11614;430
"210535 Itaipava do Grajaú";38;57032,00;61;-
"210540 Itapecuru Mirim";52;81015,78;327;5
"210542 Itinga do Maranhão";50;75000,00;149;-
"210547 Jenipapo dos Vieiras";79;118572,00;328;-
"210550 João Lisboa";52;78528,00;302;-
"210570 Lago da Pedra";381;745652,00;2356;96
"210610 Loreto";39;59092,00;158;-
"210630 Magalhães de Almeida";11;16660,00;26;-
"210640 Mata Roma";34;51944,00;118;-
"210660 Matões";15;22644,00;18;-
"210667 Milagres do Maranhão";5;7564,00;13;-
"210675 Miranda do Norte";84;126576,00;289;1
"210710 Morros";56;84041,00;215;12
"210720 Nina Rodrigues";35;52516,00;218;-
"210725 Nova Colinas";7;10500,00;14;-
"210740 Olho d'Água das Cunhãs";12;18024,00;36;-
"210745 Olinda Nova do Maranhão";81;123292,00;445;-
"210780 Parnarama";9;13612,00;13;-
"210790 Passagem Franca";68;103352,00;288;1
"210800 Pastos Bons";46;69256,00;228;-
"210810 Paulo Ramos";37;56396,00;133;-
"210820 Pedreiras";594;891001,00;5764;67
"210845 Peritoró";57;750762,28;457;10
"210860 Pinheiro";532;1102371,93;3959;119
"210880 Pirapemas";36;54024,20;177;-
"210900 Porto Franco";205;314644,00;896;2
"210910 Presidente Dutra";466;1838072,32;3247;109
"210927 Presidente Sarney";3;4500,00;7;-
"210960 Rosário";7;10500,00;21;-
"210970 Sambaíba";36;54832,00;135;1
"210980 Santa Helena";93;141525,17;255;13
"210990 Santa Inês";503;1569522,39;5140;167
"211000 Santa Luzia";95;142500,00;487;4
