 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Out/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210330 Codó";10;10;15140,19;12100,09;-;-;3040,10;-;-;1514,02;1514,02;65;6,5;4;40,00
"210350 Colinas";5;5;7588,20;6068,15;-;-;1520,05;-;-;1517,64;1517,64;17;3,4;-;-
"210360 Coroatá";23;23;125180,09;106458,47;-;-;18721,62;-;-;5442,61;5442,61;341;14,8;4;17,39
"210370 Cururupu";3;3;4772,82;3860,79;-;-;912,03;-;-;1590,94;1590,94;15;5,0;-;-
"210380 Dom Pedro";12;12;18520,00;14871,88;-;-;3648,12;-;-;1543,33;1543,33;65;5,4;-;-
"210400 Esperantinópolis";1;1;1524,00;1219,99;-;-;304,01;-;-;1524,00;1524,00;3;3,0;-;-
"210407 Feira Nova do Maranhão";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;24;4,0;-;-
"210409 Formosa da Serra Negra";13;13;19924,00;15971,87;-;-;3952,13;-;-;1532,62;1532,62;53;4,1;-;-
"210420 Fortuna";15;15;22932,00;18371,85;-;-;4560,15;-;-;1528,80;1528,80;91;6,1;-;-
"210440 Gonçalves Dias";8;8;12128,00;9695,92;-;-;2432,08;-;-;1516,00;1516,00;41;5,1;-;-
"210460 Governador Eugênio Barros";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;9;9,0;-;-
"210465 Governador Newton Bello";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"210467 Governador Nunes Freire";3;3;4620,00;3707,97;-;-;912,03;-;-;1540,00;1540,00;26;8,7;-;-
"210480 Grajaú";38;38;73632,12;59807,74;-;-;13824,38;-;-;1937,69;1937,69;195;5,1;2;5,26
"210520 Igarapé Grande";3;3;4508,00;3595,97;-;-;912,03;-;-;1502,67;1502,67;15;5,0;-;-
"210530 Imperatriz";301;301;674278,89;552223,72;-;-;122055,17;-;-;2240,13;2240,13;2349;7,8;90;29,90
"210542 Itinga do Maranhão";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;6;3,0;-;-
"210547 Jenipapo dos Vieiras";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;-;-;-;-
"210550 João Lisboa";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;4;4,0;-;-
"210570 Lago da Pedra";27;27;93436,00;77730,13;-;-;15705,87;-;-;3460,59;3460,59;161;6,0;7;25,93
"210610 Loreto";2;2;3064,00;2455,98;-;-;608,02;-;-;1532,00;1532,00;9;4,5;-;-
"210630 Magalhães de Almeida";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;4;2,0;-;-
"210745 Olinda Nova do Maranhão";9;9;13716,00;10979,91;-;-;2736,09;-;-;1524,00;1524,00;47;5,2;-;-
"210790 Passagem Franca";11;11;16700,00;13355,89;-;-;3344,11;-;-;1518,18;1518,18;33;3,0;-;-
"210820 Pedreiras";71;71;106500,00;84915,29;-;-;21584,71;-;-;1500,00;1500,00;1009;14,2;10;14,08
"210860 Pinheiro";38;38;73651,60;60082,86;-;-;13568,74;-;-;1938,20;1938,20;368;9,7;2;5,26
"210880 Pirapemas";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;6;6,0;-;-
