 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Set/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"520430 Caçu";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;9;1,8;-;-
"520440 Caiapônia";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;12;1,7;-;-
"520470 Campinorte";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;2;2,0;-;-
"520505 Castelândia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"520510 Catalão";72;72;589222,44;502510,39;-;-;86712,05;-;-;8183,64;8183,64;542;7,5;21;29,17
"520547 Chapadão do Céu";7;7;10561,95;8433,88;-;-;2128,07;-;-;1508,85;1508,85;15;2,1;-;-
"520551 Cocalzinho de Goiás";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;24;6,0;-;-
"520580 Corumbá de Goiás";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;3;1,5;-;-
"520620 Cristalina";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;67;3,4;1;5,00
"520640 Crixás";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;15;2,5;-;-
"520650 Cromínia";1;1;1516,00;1211,99;-;-;304,01;-;-;1516,00;1516,00;2;2,0;-;-
"520670 Damianópolis";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;3;3,0;-;-
"520680 Damolândia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;1;1,0;-;-
"520740 Edéia";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;4;4,0;-;-
"520780 Firminópolis";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;30;5,0;-;-
"520800 Formosa";40;40;72385,20;58634,40;-;-;13750,80;-;-;1809,63;1809,63;127;3,2;10;25,00
"520860 Goianésia";20;20;30392,00;24311,80;-;-;6080,20;-;-;1519,60;1519,60;65;3,3;-;-
"520870 Goiânia";935;935;4802400,47;4079112,45;-;-;723288,02;-;-;5136,26;5136,26;7199;7,7;210;22,46
"520890 Goiás";6;6;9952,74;8128,68;-;-;1824,06;-;-;1658,79;1658,79;38;6,3;2;33,33
"520910 Goiatuba";40;40;60000,00;47839,60;-;-;12160,40;-;-;1500,00;1500,00;90;2,3;2;5,00
"520970 Hidrolândia";17;17;25580,00;20411,83;-;-;5168,17;-;-;1504,71;1504,71;46;2,7;-;-
"521000 Inhumas";4;4;6032,00;4815,96;-;-;1216,04;-;-;1508,00;1508,00;8;2,0;-;-
"521010 Ipameri";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;2;0,7;-;-
"521040 Itaberaí";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;46;3,3;1;7,14
"521090 Itapaci";17;17;25671,45;20503,28;-;-;5168,17;-;-;1510,09;1510,09;81;4,8;1;5,88
"521120 Itapuranga";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;21;7,0;-;-
"521140 Itauçu";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;12;6,0;1;50,00
"521150 Itumbiara";145;145;344215,62;284586,93;-;-;59628,69;-;-;2373,90;2373,90;757;5,2;40;27,59
"521190 Jataí";66;66;210722,87;176617,21;-;-;34105,66;-;-;3192,77;3192,77;348;5,3;8;12,12
"521210 Joviânia";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;3;1,0;-;-
"521220 Jussara";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;8;4,0;-;-
"521250 Luziânia";93;93;699228,52;595262,03;-;-;103966,49;-;-;7518,59;7518,59;964;10,4;22;23,66
"521308 Minaçu";17;17;25500,00;20331,83;-;-;5168,17;-;-;1500,00;1500,00;38;2,2;3;17,65
"521380 Morrinhos";58;58;87160,48;69496,94;-;-;17663,54;-;-;1502,77;1502,77;308;5,3;-;-
"521400 Mozarlândia";5;5;7500,00;5979,95;-;-;1520,05;-;-;1500,00;1500,00;22;4,4;-;-
"521450 Nerópolis";72;72;473188,55;402527,03;-;-;70661,52;-;-;6572,06;6572,06;693;9,6;22;30,56
"521460 Niquelândia";36;36;54968,00;44023,64;-;-;10944,36;-;-;1526,89;1526,89;127;3,5;1;2,78
"521530 Orizona";6;6;9000,00;7175,94;-;-;1824,06;-;-;1500,00;1500,00;20;3,3;-;-
"521630 Paranaiguara";11;11;16580,00;13235,89;-;-;3344,11;-;-;1507,27;1507,27;39;3,5;-;-
"521640 Paraúna";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;20;2,9;-;-
"521710 Piracanjuba";4;4;6072,00;4855,96;-;-;1216,04;-;-;1518,00;1518,00;17;4,3;-;-
"521720 Piranhas";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;5;2,5;-;-
