 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Dez/2020
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210900 Porto Franco";2;2;3080,00;2471,98;-;-;608,02;-;-;1540,00;1540,00;11;5,5;-;-
"210910 Presidente Dutra";33;33;437976,94;373871,01;-;-;64105,93;-;-;13272,03;13272,03;244;7,4;16;48,48
"210980 Santa Helena";12;12;18280,78;14632,66;-;-;3648,12;-;-;1523,40;1523,40;33;2,8;-;-
"210990 Santa Inês";8;8;35587,04;30103,96;-;-;5483,08;-;-;4448,38;4448,38;41;5,1;4;50,00
"211000 Santa Luzia";3;3;4500,00;3587,97;-;-;912,03;-;-;1500,00;1500,00;7;2,3;-;-
"211003 Santa Luzia do Paruá";10;10;15000,00;11959,90;-;-;3040,10;-;-;1500,00;1500,00;73;7,3;-;-
"211070 São Domingos do Maranhão";9;9;13860,00;11123,91;-;-;2736,09;-;-;1540,00;1540,00;45;5,0;-;-
"211107 São João do Soter";4;4;6037,95;4821,91;-;-;1216,04;-;-;1509,49;1509,49;18;4,5;-;-
"211130 São Luís";95;95;229359,86;189952,10;-;-;39407,76;-;-;2414,31;2414,31;1020;10,7;24;25,26
"211150 São Mateus do Maranhão";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;1;1,0;-;-
"211157 São Pedro dos Crentes";7;7;10500,00;8371,93;-;-;2128,07;-;-;1500,00;1500,00;26;3,7;-;-
"211180 Sítio Novo";19;19;28500,00;22723,81;-;-;5776,19;-;-;1500,00;1500,00;61;3,2;-;-
"211210 Timbiras";3;3;4712,95;3800,92;-;-;912,03;-;-;1570,98;1570,98;11;3,7;-;-
"211220 Timon";48;48;318860,69;269961,01;-;-;48899,68;-;-;6642,93;6642,93;363;7,6;8;16,67
"211250 Tutóia";1;1;1508,00;1203,99;-;-;304,01;-;-;1508,00;1508,00;2;2,0;-;-
"211260 Urbano Santos";2;2;3016,00;2407,98;-;-;608,02;-;-;1508,00;1508,00;6;3,0;-;-
"211270 Vargem Grande";1;1;1509,00;1204,99;-;-;304,01;-;-;1509,00;1509,00;1;1,0;-;-
"211280 Viana";9;9;13876,00;11139,91;-;-;2736,09;-;-;1541,78;1541,78;55;6,1;-;-
"220020 Água Branca";7;7;10556,00;8427,93;-;-;2128,07;-;-;1508,00;1508,00;25;3,6;-;-
"220040 Altos";6;6;9088,00;7263,94;-;-;1824,06;-;-;1514,67;1514,67;37;6,2;-;-
"220050 Amarante";17;17;25512,00;20343,83;-;-;5168,17;-;-;1500,71;1500,71;84;4,9;1;5,88
"220150 Batalha";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;17;8,5;-;-
"220190 Bom Jesus";56;56;119349,96;98257,40;-;-;21092,56;-;-;2131,25;2131,25;399;7,1;13;23,21
"220220 Campo Maior";24;24;36000,00;28703,76;-;-;7296,24;-;-;1500,00;1500,00;151;6,3;-;-
"220230 Canto do Buriti";20;20;30000,00;23919,80;-;-;6080,20;-;-;1500,00;1500,00;94;4,7;-;-
"220260 Castelo do Piauí";1;1;1548,00;1243,99;-;-;304,01;-;-;1548,00;1548,00;7;7,0;-;-
"220290 Corrente";15;15;22500,00;17939,85;-;-;4560,15;-;-;1500,00;1500,00;98;6,5;-;-
"220320 Curimatá";12;12;18000,00;14351,88;-;-;3648,12;-;-;1500,00;1500,00;67;5,6;-;-
"220330 Demerval Lobão";4;4;6000,00;4783,96;-;-;1216,04;-;-;1500,00;1500,00;23;5,8;-;-
"220370 Esperantina";1;1;1500,00;1195,99;-;-;304,01;-;-;1500,00;1500,00;5;5,0;-;-
"220550 José de Freitas";2;2;3000,00;2391,98;-;-;608,02;-;-;1500,00;1500,00;9;4,5;-;-
"220580 Luzilândia";14;14;21000,00;16743,86;-;-;4256,14;-;-;1500,00;1500,00;82;5,9;-;-
"220700 Oeiras";44;44;145729,59;121437,35;-;-;24292,24;-;-;3312,04;3312,04;277;6,3;13;29,55
"220760 Parnaguá";32;32;48000,00;38271,68;-;-;9728,32;-;-;1500,00;1500,00;96;3,0;-;-
"220770 Parnaíba";35;35;87383,12;72198,77;-;-;15184,35;-;-;2496,66;2496,66;275;7,9;11;31,43
"220790 Pedro II";5;5;7532,00;6011,95;-;-;1520,05;-;-;1506,40;1506,40;19;3,8;-;-
